정규화,analyzer,ngram,min_df,sublinear,max_features,C,class_weight,피처수,Val_MacroF1
True,char,"(2, 3)",3,False,100000,0.3,balanced,5674,0.8527564660553147
True,char,"(2, 3)",3,False,0,0.3,balanced,5674,0.8527564660553147
True,char,"(2, 3)",3,True,100000,0.3,balanced,5674,0.8527564660553147
True,char,"(2, 5)",2,False,100000,0.3,balanced,20206,0.8523890396713912
True,char,"(2, 5)",2,False,0,0.3,balanced,20206,0.8523890396713912
True,char,"(2, 5)",2,True,0,0.3,balanced,20206,0.8523890396713912
True,char,"(2, 5)",2,True,100000,0.3,balanced,20206,0.8523890396713912
True,char_wb,"(2, 3)",2,True,0,0.3,balanced,8406,0.8521658433945235
True,char_wb,"(2, 3)",2,True,100000,0.3,balanced,8406,0.8521658433945235
False,char,"(2, 4)",3,True,100000,0.3,balanced,9271,0.8520354142647288
False,char,"(2, 4)",3,False,0,0.3,balanced,9271,0.8520354142647288
False,char,"(2, 4)",3,False,100000,0.3,balanced,9271,0.8520354142647288
False,char,"(2, 4)",3,True,0,0.3,balanced,9271,0.8520354142647288
True,char_wb,"(2, 4)",3,True,100000,3.0,none,6929,0.8517585444400755
True,char_wb,"(2, 4)",3,True,0,3.0,none,6929,0.8517585444400755
False,char_wb,"(2, 3)",3,True,0,0.3,balanced,5604,0.8511639145717109
False,char_wb,"(2, 3)",3,True,100000,0.3,balanced,5604,0.8511639145717109
False,char_wb,"(2, 4)",2,False,0,0.1,balanced,13220,0.8511259726088783
False,char_wb,"(2, 4)",2,False,100000,0.1,balanced,13220,0.8511259726088783
False,char_wb,"(2, 4)",2,True,100000,0.3,balanced,13220,0.8510329240409858
False,char_wb,"(2, 4)",2,True,0,0.3,balanced,13220,0.8510329240409858
True,char_wb,"(2, 3)",3,False,0,3.0,none,5165,0.8509597221383709
True,char_wb,"(2, 3)",3,False,100000,3.0,none,5165,0.8509597221383709
False,char_wb,"(2, 3)",3,True,0,10.0,balanced,5604,0.8508471438793168
False,char_wb,"(2, 3)",3,True,100000,10.0,balanced,5604,0.8508471438793168
False,char_wb,"(2, 5)",3,True,0,1.0,balanced,8758,0.8507655131866854
False,char_wb,"(2, 5)",3,True,100000,1.0,balanced,8758,0.8507655131866854
False,char_wb,"(2, 3)",3,False,100000,0.3,balanced,5604,0.8506785275861084
False,char_wb,"(2, 3)",3,False,0,0.3,balanced,5604,0.8506785275861084
False,char,"(2, 3)",3,True,0,0.3,balanced,6222,0.850440790025927
False,char,"(2, 3)",3,False,100000,0.3,balanced,6222,0.850440790025927
False,char,"(2, 3)",3,True,100000,0.3,balanced,6222,0.850440790025927
False,char,"(2, 3)",3,False,0,0.3,balanced,6222,0.850440790025927
True,char,"(2, 3)",3,True,0,1.0,balanced,5674,0.8503438034949033
True,char,"(2, 3)",3,False,100000,1.0,balanced,5674,0.8503438034949033
