분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LinearSVC,5,title,char,"(2, 3)",1,1.0,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7338213795515662,0.021520039525975487
LinearSVC,6,title,char,"(2, 3)",1,0.9,False,True,"{'C': 10.0, 'class_weight': None}",0.7337341849632681,0.019874245831564826
LinearSVC,5,title,char,"(2, 3)",1,1.0,False,True,"{'C': 10.0, 'class_weight': None}",0.7337341849632681,0.019874245831564826
LinearSVC,3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 30.0, 'class_weight': None}",0.7336650629909679,0.02168960528172368
LinearSVC,4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 30.0, 'class_weight': None}",0.7336650629909679,0.02168960528172368
LinearSVC,4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 3.0, 'class_weight': None}",0.7335834873849498,0.020088703420482912
LinearSVC,3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 3.0, 'class_weight': None}",0.7335834873849498,0.020088703420482912
LinearSVC,3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 10.0, 'class_weight': None}",0.7335600845508857,0.021664381013035677
LinearSVC,4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 10.0, 'class_weight': None}",0.7335600845508857,0.021664381013035677
LinearSVC,4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.7333504284589122,0.02516728283905835
LinearSVC,3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.7333504284589122,0.02516728283905835
LinearSVC,4,title,char,"(2, 3)",1,1.0,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7333136359997715,0.02187646960920128
LinearSVC,3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.7333136359997715,0.02187646960920128
LinearSVC,6,title,char,"(2, 3)",1,0.9,False,True,"{'C': 30.0, 'class_weight': None}",0.7332935532393916,0.019131960799424797
LinearSVC,5,title,char,"(2, 3)",1,1.0,False,True,"{'C': 30.0, 'class_weight': None}",0.7332935532393916,0.019131960799424797
LogReg(OvR),3,title,char,"(2, 3)",1,0.9,True,True,"{'C': 90.0, 'class_weight': 'balanced'}",0.7330924106767988,0.020641991928263378
