모델,CV_MacroF1,CV_std
LinearSVC(대조),0.7910349868437054,0.033157452442369305
RandomForest,0.7263087582652504,0.0227583020755224
HistGB,0.7088023270946318,0.026049767205254388
ExtraTrees,0.6523648637341337,0.024868381364913077
