표현순위,축소,설정,CV_MacroF1,CV_std
1,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7318328321574492,0.023945441840883534
1,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.553030684205891,0.019010577433402884
1,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6448874817859169,0.02604213131241552
1,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.655662071668505,0.027149492748418363
1,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7016650764165387,0.020099768058858224
1,L1,C=0.3,0.5803581864971635,0.021922687373447478
1,L1,C=1.0,0.6690653604282512,0.025055578487815366
1,L1,C=3.0,0.6989945669317402,0.02961002166487649
2,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7318328321574492,0.023945441840883534
2,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.553030684205891,0.019010577433402884
2,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6448874817859169,0.02604213131241552
2,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.655662071668505,0.027149492748418363
2,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7016650764165387,0.020099768058858224
2,L1,C=0.3,0.5803581864971635,0.021922687373447478
2,L1,C=1.0,0.6690653604282512,0.025055578487815366
2,L1,C=3.0,0.6989945669317402,0.02961002166487649
3,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.731196548679363,0.029347044178806986
3,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5497406303918563,0.019498046055636584
3,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6436621210625387,0.01979249681366623
3,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6519205585016882,0.03579656838914241
3,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7127869416995517,0.03437188295386199
3,L1,C=0.3,0.5761697970479825,0.022549215633718644
3,L1,C=1.0,0.6713241268919721,0.03158324527832469
3,L1,C=3.0,0.7008978816696725,0.03467687066126711
4,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.731196548679363,0.029347044178806986
4,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5497406303918563,0.019498046055636584
4,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6436621210625387,0.01979249681366623
4,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6519205585016882,0.03579656838914241
4,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7127869416995517,0.03437188295386199
4,L1,C=0.3,0.5761697970479825,0.022549215633718644
4,L1,C=1.0,0.6713241268919721,0.03158324527832469
4,L1,C=3.0,0.7008978816696725,0.03467687066126711
5,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7306362903399745,0.02807376591259012
5,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5497413240599093,0.01862651858024973
5,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6457139739636429,0.019842567141578473
5,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6480015244623509,0.03525445363731889
5,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7109204050347679,0.037039735527556954
5,L1,C=0.3,0.5766770302507259,0.023853549568491086
5,L1,C=1.0,0.6781733129936439,0.03343575115517139
5,L1,C=3.0,0.709757552503325,0.028766348924372576
6,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7306362903399745,0.02807376591259012
6,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5497413240599093,0.01862651858024973
6,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6457139739636429,0.019842567141578473
6,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6480015244623509,0.03525445363731889
6,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7109204050347679,0.037039735527556954
6,L1,C=0.3,0.5766770302507259,0.023853549568491086
6,L1,C=1.0,0.6781733129936439,0.03343575115517139
6,L1,C=3.0,0.709757552503325,0.028766348924372576
7,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7305967606899954,0.024194374122639577
7,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5509766769500544,0.01696533694566126
7,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6409392231029472,0.02538198097273482
7,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6552251940861986,0.02831839342229298
7,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7006535127579687,0.020482393419805733
7,L1,C=0.3,0.5799861699646642,0.01760771523188335
7,L1,C=1.0,0.6681653249743091,0.02158971866037852
7,L1,C=3.0,0.7042202321661124,0.023473248607172606
8,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7305967606899954,0.024194374122639577
8,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5509766769500544,0.01696533694566126
8,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6409392231029472,0.02538198097273482
8,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6552251940861986,0.02831839342229298
8,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.7006535127579687,0.020482393419805733
8,L1,C=0.3,0.5799861699646642,0.01760771523188335
8,L1,C=1.0,0.6681653249743091,0.02158971866037852
8,L1,C=3.0,0.7042202321661124,0.023473248607172606
9,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.7259676036973634,0.025051740311534128
9,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.5157990918039917,0.021752080617366703
9,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.6233287029745452,0.026463508412162738
9,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.6527650775680189,0.032867013541985374
