정규화,analyzer,ngram,min_df,sublinear,max_features,C,class_weight,피처수,Val_MacroF1
True,char,"(2, 3)",1,False,0,10.0,balanced,27540,0.6778931767942036
True,char,"(2, 3)",1,False,100000,10.0,balanced,27540,0.6778931767942036
False,char_wb,"(2, 5)",1,True,0,3.0,balanced,64263,0.6777752314166723
False,char_wb,"(2, 5)",1,True,100000,3.0,balanced,64263,0.6777752314166723
False,char_wb,"(2, 3)",1,False,0,3.0,balanced,27740,0.677768374495941
False,char_wb,"(2, 3)",1,False,100000,3.0,balanced,27740,0.677768374495941
True,char,"(2, 3)",1,True,100000,0.3,balanced,27540,0.6767807580616734
True,char,"(2, 3)",1,True,0,0.3,balanced,27540,0.6767807580616734
True,char,"(2, 4)",1,True,100000,1.0,none,52901,0.6767037837068466
True,char,"(2, 4)",1,True,0,1.0,none,52901,0.6767037837068466
True,char,"(2, 3)",2,False,100000,1.0,balanced,10702,0.6766029056278268
True,char,"(2, 3)",2,False,0,1.0,balanced,10702,0.6766029056278268
True,char_wb,"(2, 3)",1,True,100000,1.0,balanced,23232,0.6765081704621931
True,char_wb,"(2, 3)",1,True,0,1.0,balanced,23232,0.6765081704621931
True,char_wb,"(2, 3)",1,True,100000,3.0,none,23232,0.6764629739978413
True,char_wb,"(2, 3)",1,True,0,3.0,none,23232,0.6764629739978413
True,char,"(2, 3)",1,False,0,0.3,balanced,27540,0.6760720900458259
True,char,"(2, 3)",1,False,100000,0.3,balanced,27540,0.6760720900458259
True,char_wb,"(2, 3)",1,False,100000,1.0,balanced,23232,0.6760215206681404
True,char_wb,"(2, 3)",1,False,0,1.0,balanced,23232,0.6760215206681404
True,char,"(2, 4)",1,False,0,3.0,balanced,52901,0.6760022819260026
True,char,"(2, 4)",1,False,100000,3.0,balanced,52901,0.6760022819260026
True,char_wb,"(2, 3)",1,True,100000,10.0,balanced,23232,0.6756607869651801
True,char_wb,"(2, 3)",1,True,0,10.0,balanced,23232,0.6756607869651801
True,char_wb,"(2, 4)",1,False,0,1.0,balanced,37967,0.6756507369685325
True,char_wb,"(2, 4)",1,False,100000,1.0,balanced,37967,0.6756507369685325
True,char_wb,"(2, 4)",1,True,100000,10.0,balanced,37967,0.6750916277867967
True,char_wb,"(2, 4)",1,True,0,10.0,balanced,37967,0.6750916277867967
True,char,"(2, 4)",1,False,100000,1.0,none,52901,0.6750823177063896
True,char,"(2, 4)",1,False,0,1.0,none,52901,0.6750823177063896
True,char_wb,"(2, 5)",1,False,0,3.0,balanced,49285,0.6749810619237334
True,char_wb,"(2, 5)",1,False,100000,3.0,balanced,49285,0.6749810619237334
True,char,"(2, 3)",1,False,0,10.0,none,27540,0.6748356272665015
True,char,"(2, 3)",1,False,100000,10.0,none,27540,0.6748356272665015
True,char_wb,"(2, 4)",1,True,100000,0.3,balanced,37967,0.674807419927522
True,char_wb,"(2, 4)",1,True,0,0.3,balanced,37967,0.674807419927522
True,char_wb,"(2, 3)",1,False,0,10.0,balanced,23232,0.6738898159689833
True,char_wb,"(2, 3)",1,False,100000,10.0,balanced,23232,0.6738898159689833
False,char_wb,"(2, 4)",1,True,100000,3.0,none,47115,0.6737651086515111
False,char_wb,"(2, 4)",1,True,0,3.0,none,47115,0.6737651086515111
False,char,"(2, 4)",1,False,0,3.0,none,59904,0.6736594779271886
False,char,"(2, 4)",1,False,100000,3.0,none,59904,0.6736594779271886
True,char_wb,"(2, 4)",1,True,0,10.0,none,37967,0.6733832581343472
True,char_wb,"(2, 4)",1,True,100000,10.0,none,37967,0.6733832581343472
False,char_wb,"(2, 4)",1,True,100000,10.0,none,47115,0.6728893459733994
False,char_wb,"(2, 4)",1,True,0,10.0,none,47115,0.6728893459733994
False,char,"(2, 4)",1,True,0,3.0,none,59904,0.6726006751141054
False,char,"(2, 4)",1,True,100000,3.0,none,59904,0.6726006751141054
True,char_wb,"(2, 3)",1,False,100000,10.0,none,23232,0.672506717096564
True,char_wb,"(2, 3)",1,False,0,10.0,none,23232,0.672506717096564
True,char,"(2, 3)",1,False,0,3.0,balanced,27540,0.672501944416779
True,char,"(2, 3)",1,False,100000,3.0,balanced,27540,0.672501944416779
False,char_wb,"(2, 3)",1,True,100000,10.0,none,27740,0.672084882145155
False,char_wb,"(2, 3)",1,True,0,10.0,none,27740,0.672084882145155
True,char_wb,"(2, 4)",1,True,100000,1.0,none,37967,0.6720653475788133
True,char_wb,"(2, 4)",1,True,0,1.0,none,37967,0.6720653475788133
True,char,"(2, 3)",1,True,0,3.0,balanced,27540,0.6720059288044843
True,char,"(2, 3)",1,True,100000,3.0,balanced,27540,0.6720059288044843
True,char_wb,"(2, 3)",2,True,100000,1.0,balanced,9500,0.6719436999035537
True,char_wb,"(2, 3)",2,True,0,1.0,balanced,9500,0.6719436999035537
True,char_wb,"(2, 4)",1,False,100000,0.3,balanced,37967,0.6718281208078929
True,char_wb,"(2, 4)",1,False,0,0.3,balanced,37967,0.6718281208078929
True,char_wb,"(2, 5)",1,True,100000,3.0,balanced,49285,0.6717351139187601
True,char_wb,"(2, 5)",1,True,0,3.0,balanced,49285,0.6717351139187601
False,char_wb,"(2, 3)",1,False,0,10.0,none,27740,0.6714616204086463
False,char_wb,"(2, 3)",1,False,100000,10.0,none,27740,0.6714616204086463
False,char,"(2, 5)",1,True,100000,3.0,balanced,92607,0.6711862452475807
False,char,"(2, 5)",1,True,0,3.0,balanced,92607,0.6711862452475807
True,char,"(2, 4)",1,True,0,3.0,none,52901,0.6709332884833508
