입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
title,char,"(2, 4)",3,0.9,False,False,0.8124979773455457,0.023874031882920733
title,char,"(2, 4)",3,1.0,False,False,0.8124979773455457,0.023874031882920733
title,char,"(2, 4)",3,1.0,True,False,0.8120784342289138,0.02386404662909181
title,char,"(2, 4)",3,0.9,True,False,0.8120784342289138,0.02386404662909181
title,char_wb,"(2, 3)",2,0.9,True,True,0.8110930703903207,0.02272352444791328
title,char_wb,"(2, 3)",2,1.0,True,True,0.8110930703903207,0.02272352444791328
title,char_wb,"(2, 4)",3,1.0,False,True,0.81108397729533,0.0228229175976241
title,char_wb,"(2, 4)",3,0.9,False,True,0.81108397729533,0.0228229175976241
title,char_wb,"(2, 4)",3,0.9,False,False,0.8109287661420759,0.026782875336043854
title,char_wb,"(2, 4)",3,1.0,False,False,0.8109287661420759,0.026782875336043854
title,char_wb,"(2, 3)",1,1.0,False,True,0.8107502090729486,0.01987296315905045
title,char_wb,"(2, 3)",1,0.9,False,True,0.8107502090729486,0.01987296315905045
title,char,"(2, 5)",3,1.0,True,False,0.8104428494264238,0.02333419122883987
title,char,"(2, 5)",3,0.9,True,False,0.8104428494264238,0.02333419122883987
title,char_wb,"(2, 4)",3,0.9,True,False,0.8099702617100999,0.026887970185037573
title,char_wb,"(2, 4)",3,1.0,True,False,0.8099702617100999,0.026887970185037573
title,char,"(2, 5)",3,0.9,False,False,0.8099403202855597,0.02296760255121138
title,char,"(2, 5)",3,1.0,False,False,0.8099403202855597,0.02296760255121138
title,char,"(2, 3)",1,1.0,False,True,0.8094805060159842,0.020376437778089285
title,char,"(2, 3)",1,0.9,False,True,0.8094805060159842,0.020376437778089285
title,char,"(2, 4)",3,0.9,False,True,0.809394914069238,0.01705638576308916
title,char,"(2, 4)",3,1.0,False,True,0.809394914069238,0.01705638576308916
title,char,"(2, 5)",2,1.0,True,True,0.8092827466779428,0.019153212330147794
title,char,"(2, 5)",2,0.9,True,True,0.8092827466779428,0.019153212330147794
title,char_wb,"(2, 5)",3,0.9,True,True,0.8091213594054867,0.023325695977219812
title,char_wb,"(2, 5)",3,1.0,True,True,0.8091213594054867,0.023325695977219812
title,char,"(2, 5)",2,0.9,False,True,0.8091023229357639,0.01936420738964591
title,char,"(2, 5)",2,1.0,False,True,0.8091023229357639,0.01936420738964591
title,char_wb,"(2, 5)",3,1.0,False,True,0.8089858611249147,0.022844176117095587
title,char_wb,"(2, 5)",3,0.9,False,True,0.8089858611249147,0.022844176117095587
title,char,"(2, 4)",3,1.0,True,True,0.8088344291170874,0.017179702320669555
title,char,"(2, 4)",3,0.9,True,True,0.8088344291170874,0.017179702320669555
title,char_wb,"(2, 3)",1,0.9,True,True,0.8085690302214884,0.020963879082851015
title,char_wb,"(2, 3)",1,1.0,True,True,0.8085690302214884,0.020963879082851015
title,char_wb,"(2, 3)",2,1.0,False,True,0.8084022708049089,0.024337850130602676
title,char_wb,"(2, 3)",2,0.9,False,True,0.8084022708049089,0.024337850130602676
title,char,"(2, 4)",2,0.9,True,False,0.8083490300777697,0.020959357373835263
title,char,"(2, 4)",2,1.0,True,False,0.8083490300777697,0.020959357373835263
title,char,"(2, 4)",2,1.0,False,False,0.808334883956339,0.020286932585706623
title,char,"(2, 4)",2,0.9,False,False,0.808334883956339,0.020286932585706623
title,char,"(2, 5)",2,1.0,True,False,0.8076134534170774,0.020113683406696944
title,char,"(2, 5)",2,0.9,True,False,0.8076134534170774,0.020113683406696944
