분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LogReg(다항),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8187656765280288,0.03537442573921882
LogReg(다항),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 30.0, 'class_weight': 'balanced'}",0.8187656765280288,0.03537442573921882
LogReg(다항),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8180085777436661,0.035952589893892814
LogReg(다항),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8180085777436661,0.035952589893892814
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 1.0, 'class_weight': 'balanced'}",0.8177952965001436,0.028494622604509186
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 1.0, 'class_weight': 'balanced'}",0.8177952965001436,0.028494622604509186
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 1.0, 'class_weight': 'balanced'}",0.8175261015724449,0.029277677993386486
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 1.0, 'class_weight': 'balanced'}",0.8175261015724449,0.029277677993386486
LogReg(OvR),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.8174164666584322,0.027484332899875265
LogReg(OvR),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.8174164666584322,0.027484332899875265
LogReg(OvR),7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8170488040464579,0.0365249576394111
LogReg(OvR),8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8170488040464579,0.0365249576394111
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8170056495724671,0.022337367019383523
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8170056495724671,0.022337367019383523
LogReg(OvR),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8168829228940935,0.03309002400517555
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8168829228940935,0.03309002400517555
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 90.0, 'class_weight': 'balanced'}",0.8167978266662661,0.03165684207837478
LogReg(다항),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8167689565897212,0.03641103684662046
LogReg(다항),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8167689565897212,0.03641103684662046
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.8165450028881777,0.02759403399464237
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 10.0, 'class_weight': 'balanced'}",0.8165450028881777,0.02759403399464237
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 0.3, 'class_weight': 'balanced'}",0.81608892427953,0.02874738279780335
