입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
title,char_wb,"(2, 3)",1,0.9,True,True,0.7318328321574492,0.023945441840883534
title,char_wb,"(2, 3)",1,1.0,True,True,0.7318328321574492,0.023945441840883534
title,char,"(2, 3)",1,0.9,True,True,0.731196548679363,0.029347044178806986
title,char,"(2, 3)",1,1.0,True,True,0.731196548679363,0.029347044178806986
title,char,"(2, 3)",1,1.0,False,True,0.7306362903399745,0.02807376591259012
title,char,"(2, 3)",1,0.9,False,True,0.7306362903399745,0.02807376591259012
title,char_wb,"(2, 3)",1,1.0,False,True,0.7305967606899954,0.024194374122639577
title,char_wb,"(2, 3)",1,0.9,False,True,0.7305967606899954,0.024194374122639577
title,char,"(2, 3)",1,1.0,True,False,0.7259676036973634,0.025051740311534128
title,char,"(2, 3)",1,0.9,True,False,0.7259676036973634,0.025051740311534128
title,char,"(2, 4)",1,1.0,True,True,0.7252809635330855,0.025087908522906623
title,char,"(2, 4)",1,0.9,True,True,0.7252809635330855,0.025087908522906623
title,char,"(2, 3)",1,1.0,False,False,0.7249878397535513,0.025519255507289403
title,char,"(2, 3)",1,0.9,False,False,0.7249878397535513,0.025519255507289403
title,char,"(2, 4)",1,1.0,False,True,0.7249121958572516,0.025411913168807088
title,char,"(2, 4)",1,0.9,False,True,0.7249121958572516,0.025411913168807088
title,char,"(2, 3)",2,0.9,True,True,0.7248607075317614,0.022765259341845298
title,char,"(2, 3)",2,1.0,True,True,0.7248607075317614,0.022765259341845298
title,char,"(2, 3)",2,1.0,False,True,0.7242055538880873,0.022995708804098916
title,char,"(2, 3)",2,0.9,False,True,0.7242055538880873,0.022995708804098916
title,char_wb,"(2, 3)",1,1.0,True,False,0.7230109207184834,0.02130084585515122
title,char_wb,"(2, 3)",1,0.9,True,False,0.7230109207184834,0.02130084585515122
title,char_wb,"(2, 3)",1,0.9,False,False,0.7227253828572368,0.02244991555332119
title,char_wb,"(2, 3)",1,1.0,False,False,0.7227253828572368,0.02244991555332119
title,char_wb,"(2, 5)",1,1.0,True,True,0.7225737334812823,0.021942383592139916
title,char_wb,"(2, 5)",1,0.9,True,True,0.7225737334812823,0.021942383592139916
title,char_wb,"(2, 4)",1,0.9,True,True,0.7221321769316983,0.024471801527713256
title,char_wb,"(2, 4)",1,1.0,True,True,0.7221321769316983,0.024471801527713256
title,char_wb,"(2, 5)",1,1.0,False,True,0.721625037758657,0.022232240907343184
title,char_wb,"(2, 5)",1,0.9,False,True,0.721625037758657,0.022232240907343184
title,char_wb,"(2, 4)",1,0.9,False,True,0.7215717219066772,0.02540871524211978
title,char_wb,"(2, 4)",1,1.0,False,True,0.7215717219066772,0.02540871524211978
title,char_wb,"(2, 3)",2,1.0,True,True,0.7200980339413858,0.01527648227776961
title,char_wb,"(2, 3)",2,0.9,True,True,0.7200980339413858,0.01527648227776961
title,char_wb,"(2, 3)",2,0.9,False,True,0.7188570792016689,0.01749712587428242
title,char_wb,"(2, 3)",2,1.0,False,True,0.7188570792016689,0.01749712587428242
title,char_wb,"(2, 4)",1,1.0,True,False,0.7175731545548379,0.025723957564821664
title,char_wb,"(2, 4)",1,0.9,True,False,0.7175731545548379,0.025723957564821664
title,char_wb,"(2, 4)",1,1.0,False,False,0.7168825580714433,0.024613787616481454
title,char_wb,"(2, 4)",1,0.9,False,False,0.7168825580714433,0.024613787616481454
title,char,"(2, 4)",2,0.9,True,True,0.7158974802825622,0.02265507620721146
title,char,"(2, 4)",2,1.0,True,True,0.7158974802825622,0.02265507620721146
title,char,"(2, 3)",3,1.0,True,True,0.7152520557873393,0.025664748345742935
title,char,"(2, 3)",3,0.9,True,True,0.7152520557873393,0.025664748345742935
title,char,"(2, 3)",3,1.0,False,True,0.7152310821466337,0.02367425983995601
title,char,"(2, 3)",3,0.9,False,True,0.7152310821466337,0.02367425983995601
title,char,"(2, 4)",2,0.9,False,True,0.7148502697787233,0.022689899743967432
title,char,"(2, 4)",2,1.0,False,True,0.7148502697787233,0.022689899743967432
instt_title,char_wb,"(2, 3)",1,1.0,True,True,0.7147715620726027,0.020339758567971676
instt_title,char_wb,"(2, 3)",1,0.9,True,True,0.7147715620726027,0.020339758567971676
instt_title,char,"(2, 3)",1,1.0,True,True,0.7144465814529953,0.018244194893410157
instt_title,char,"(2, 3)",1,0.9,True,True,0.7144465814529953,0.018244194893410157
title,char,"(2, 3)",2,0.9,False,False,0.7144361334391474,0.02848655044490153
title,char,"(2, 3)",2,1.0,False,False,0.7144361334391474,0.02848655044490153
title,char,"(2, 5)",1,0.9,False,True,0.7143224231861298,0.025728028118217013
title,char,"(2, 5)",1,1.0,False,True,0.7143224231861298,0.025728028118217013
title,char_wb,"(2, 3)",2,1.0,True,False,0.7142180316885822,0.021735050986116645
title,char_wb,"(2, 3)",2,0.9,True,False,0.7142180316885822,0.021735050986116645
title,char,"(2, 5)",1,1.0,True,True,0.714145925178823,0.028400454094346626
title,char,"(2, 5)",1,0.9,True,True,0.714145925178823,0.028400454094346626
title,char,"(2, 4)",1,0.9,False,False,0.7135948289056004,0.024777139311418273
title,char,"(2, 4)",1,1.0,False,False,0.7135948289056004,0.024777139311418273
title,char_wb,"(2, 3)",2,0.9,False,False,0.7133649546351801,0.024056215473908776
title,char_wb,"(2, 3)",2,1.0,False,False,0.7133649546351801,0.024056215473908776
title,char_wb,"(2, 5)",1,0.9,False,False,0.7130319804903573,0.025253162506029023
title,char_wb,"(2, 5)",1,1.0,False,False,0.7130319804903573,0.025253162506029023
title,char_wb,"(2, 5)",1,0.9,True,False,0.7125527746070368,0.02470948958784681
title,char_wb,"(2, 5)",1,1.0,True,False,0.7125527746070368,0.02470948958784681
title,char,"(2, 3)",2,1.0,True,False,0.7117415768315403,0.024619053702518448
title,char,"(2, 3)",2,0.9,True,False,0.7117415768315403,0.024619053702518448
title,char_wb,"(2, 4)",2,1.0,True,True,0.7110459075261566,0.023817038094514242
title,char_wb,"(2, 4)",2,0.9,True,True,0.7110459075261566,0.023817038094514242
title,char,"(2, 4)",3,1.0,True,True,0.7110329417894585,0.024770476062241597
title,char,"(2, 4)",3,0.9,True,True,0.7110329417894585,0.024770476062241597
title,char,"(2, 4)",1,0.9,True,False,0.7107312915282372,0.022856855568730298
title,char,"(2, 4)",1,1.0,True,False,0.7107312915282372,0.022856855568730298
title,char_wb,"(2, 4)",2,1.0,False,True,0.7106245593082501,0.024633362612151037
title,char_wb,"(2, 4)",2,0.9,False,True,0.7106245593082501,0.024633362612151037
